id,xloc,yloc,cost,is_locked_out,epicentre
1,-32.65,-3.95,3.0,0.0,0.0
2,-32.64,-3.95,10.0,0.0,0.0
3,-32.63,-3.95,2.0,0.0,0.0
4,-32.62,-3.95,7.0,0.0,0.0
5,-32.61,-3.95,1.0,0.0,0.0
6,-32.6,-3.95,3.0,0.0,0.0
7,-32.59,-3.95,8.0,0.0,0.0
8,-32.58,-3.95,3.0,0.0,0.0
9,-32.57,-3.95,6.0,0.0,0.0
10,-32.56,-3.95,7.0,0.0,0.0
11,-32.55,-3.95,5.0,0.0,0.0
12,-32.54,-3.95,8.0,0.0,0.0
13,-32.53,-3.95,3.0,0.0,0.0
14,-32.52,-3.95,10.0,0.0,0.0
15,-32.51,-3.95,4.0,0.0,0.0
16,-32.5,-3.95,6.0,0.0,0.0
17,-32.49,-3.95,2.0,0.0,0.0
18,-32.48,-3.95,6.0,0.0,0.0
19,-32.47,-3.95,7.0,0.0,0.0
20,-32.46,-3.95,5.0,0.0,0.0
21,-32.45,-3.95,9.0,0.0,0.0
22,-32.44,-3.95,8.0,0.0,0.0
23,-32.43,-3.95,6.0,0.0,0.0
24,-32.42,-3.95,4.0,0.0,0.0
25,-32.41,-3.95,10.0,0.0,0.0
26,-32.4,-3.95,8.0,0.0,0.0
27,-32.39,-3.95,5.0,0.0,0.0
28,-32.38,-3.95,10.0,0.0,0.0
29,-32.37,-3.95,4.0,0.0,0.0
30,-32.36,-3.95,8.0,0.0,0.0
31,-32.35,-3.95,3.0,0.0,0.0
32,-32.34,-3.95,10.0,0.0,0.0
33,-32.33,-3.95,2.0,0.0,0.0
34,-32.32,-3.95,7.0,0.0,0.0
35,-32.31,-3.95,2.0,0.0,0.0
36,-32.3,-3.95,8.0,0.0,0.0
37,-32.29,-3.95,5.0,0.0,0.0
38,-32.28,-3.95,3.0,0.0,0.0
39,-32.27,-3.95,4.0,0.0,0.0
40,-32.26,-3.95,8.0,0.0,0.0
41,-32.65,-3.94,8.0,0.0,0.0
42,-32.64,-3.94,3.0,0.0,0.0
43,-32.63,-3.94,4.0,0.0,0.0
44,-32.62,-3.94,5.0,0.0,0.0
45,-32.61,-3.94,4.0,0.0,0.0
46,-32.6,-3.94,10.0,0.0,0.0
47,-32.59,-3.94,6.0,0.0,0.0
48,-32.58,-3.94,4.0,0.0,0.0
49,-32.57,-3.94,8.0,0.0,0.0
50,-32.56,-3.94,2.0,0.0,0.0
51,-32.55,-3.94,8.0,0.0,0.0
52,-32.54,-3.94,2.0,0.0,0.0
53,-32.53,-3.94,3.0,0.0,0.0
54,-32.52,-3.94,8.0,0.0,0.0
55,-32.51,-3.94,8.0,0.0,0.0
56,-32.5,-3.94,5.0,0.0,0.0
57,-32.49,-3.94,8.0,0.0,0.0
58,-32.48,-3.94,8.0,0.0,0.0
59,-32.47,-3.94,6.0,0.0,0.0
60,-32.46,-3.94,1.0,0.0,0.0
61,-32.45,-3.94,10.0,0.0,0.0
62,-32.44,-3.94,8.0,0.0,0.0
63,-32.43,-3.94,4.0,0.0,0.0
64,-32.42,-3.94,1.0,0.0,0.0
65,-32.41,-3.94,5.0,0.0,0.0
66,-32.4,-3.94,7.0,0.0,0.0
67,-32.39,-3.94,6.0,0.0,0.0
68,-32.38,-3.94,5.0,0.0,0.0
69,-32.37,-3.94,6.0,0.0,0.0
70,-32.36,-3.94,1.0,0.0,0.0
71,-32.35,-3.94,3.0,0.0,0.0
72,-32.34,-3.94,4.0,0.0,0.0
73,-32.33,-3.94,9.0,0.0,0.0
74,-32.32,-3.94,10.0,0.0,0.0
75,-32.31,-3.94,4.0,0.0,0.0
76,-32.3,-3.94,3.0,0.0,0.0
77,-32.29,-3.94,2.0,0.0,0.0
78,-32.28,-3.94,10.0,0.0,0.0
79,-32.27,-3.94,9.0,0.0,0.0
